date,opponent,xgFor_footballxg,xgOpp_footballxg,xgFor_footystats,xgOpp_footystats,possessionFor,shotShare,timeTrailingSecondHalf,timeLeadingSecondHalf,relegationOdds,promotionPlayoffOdds
2021-08-07,Doncaster Rovers,1,0.4,1.04,1.02,42,40,12,16,22,9
2021-08-14,Bolton,2.2,3,1.81,1.18,54,62.5,30,0,23,8
2021-08-17,Gillingham,1.5,0.3,2.03,1.03,66,70.8,0,12,23,8
2021-08-21,Sunderland,0.2,0.5,0.95,1.65,47,31.6,25,8,24,8
2021-08-28,Ipswich Town,1.2,1.5,1.22,1.48,50,47.8,24,8,16,13
2021-09-04,Oxford United,1.3,1.7,1.83,1.94,45,42.4,16,13,12,16
2021-09-11,Morecambe,2.6,0.9,1.96,1.11,55,72,14,4,12,16
2021-09-18,Plymouth Argyle,1.2,1.9,1.76,1.11,60,56.5,45,0,16,12
2021-09-25,Shrewsbury Town,1,1.5,1.36,1.55,63,48,25,0,20,9
2021-09-28,Rotherham United,0.1,0.9,0.65,1.96,55,28.6,45,0,24,7
2021-10-02,Burton Albion,0.9,0.9,1.49,1.09,59,62.5,24,0,26,5
2021-10-16,Sheffield Wednesday,1.3,2.2,1.25,1.78,53,37.5,39,0,22,6
2021-10-19,Lincoln City,1.8,1.2,1.17,1.8,37,41.4,0,50,15,8
2021-10-23,Wigan,1.1,1.7,1.02,1.9,43,28,45,0,18,5
2021-10-30,Cambridge United,0.5,0.9,1.18,1.35,58,42.1,45,0,24,3
2021-11-20,Portsmouth,1.7,2.1,1.42,1.88,45,47.8,5,18,26,2
2021-11-23,Crewe Alexandra,4.4,1.5,2.75,1.24,50,68.4,0,45,21,3
2021-11-27,Fleetwood Town,1,1.3,1.09,1.51,47,40.9,7,5,20,2
2021-12-07,Accrington Stanley,,,,,,,,,,
2021-12-11,Wycombe Wanderers,,,,,,,,,,
2021-12-18,Portsmouth,,,,,,,,,,
2021-12-26,Charlton Athletic,,,,,,,,,,
2021-12-29,Oxford United,,,,,,,,,,
2022-01-01,Plymouth Argyle,,,,,,,,,,
2022-01-08,Ipswich Town,,,,,,,,,,
2022-01-11,Milton Keynes Dons,,,,,,,,,,
2022-01-15,Morecambe,,,,,,,,,,
2022-01-22,Burton Albion,,,,,,,,,,
2022-01-29,Shrewsbury Town,,,,,,,,,,
2022-02-05,Charlton Athletic,,,,,,,,,,
2022-02-08,Rotherham United,,,,,,,,,,
2022-02-12,Sunderland,,,,,,,,,,
2022-02-19,Bolton,,,,,,,,,,
2022-02-22,Gillingham,,,,,,,,,,
2022-02-26,Doncaster Rovers,,,,,,,,,,
2022-03-05,Wigan,,,,,,,,,,
2022-03-12,Lincoln City,,,,,,,,,,
2022-03-19,Cheltenham Town,,,,,,,,,,
2022-03-26,Cambridge United,,,,,,,,,,
2022-04-02,Sheffield Wednesday,,,,,,,,,,
2022-04-09,Milton Keynes Dons,,,,,,,,,,
2022-04-15,Crewe Alexandra,,,,,,,,,,
2022-04-18,Wycombe Wanderers,,,,,,,,,,
2022-04-23,Fleetwood Town,,,,,,,,,,
2022-04-30,Accrington Stanley,,,,,,,,,,
2022-05-01,Cheltenham Town,,,,,,,,,,
